QKEY,F_INC_SDT1,F_EDUCCAT,F_AGECAT,F_GENDER,F_RACECMB,F_RACETHNMOD,CHATUSE_W152,USEAI_W152
624681,4.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0
624877,9.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0
625088,5.0,3.0,2.0,2.0,1.0,1.0,0.0,5.0
625237,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
626046,9.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0
626204,5.0,3.0,2.0,2.0,1.0,1.0,,3.0
626287,6.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0
626293,9.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0
626361,7.0,1.0,4.0,2.0,1.0,1.0,,5.0
626763,5.0,1.0,4.0,2.0,1.0,1.0,,5.0
627600,9.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0
627963,9.0,1.0,2.0,2.0,4.0,4.0,1.0,2.0
628369,9.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0
628500,4.0,2.0,4.0,1.0,1.0,1.0,,3.0
630394,6.0,3.0,4.0,2.0,1.0,1.0,,3.0
630914,6.0,2.0,2.0,1.0,1.0,1.0,0.0,5.0
632259,8.0,1.0,4.0,2.0,1.0,1.0,0.0,2.0
632751,9.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
633032,4.0,1.0,4.0,2.0,1.0,1.0,0.0,2.0
633508,9.0,1.0,3.0,1.0,1.0,1.0,0.0,4.0
633591,6.0,3.0,2.0,1.0,1.0,3.0,0.0,2.0
633723,5.0,1.0,2.0,1.0,4.0,4.0,0.0,5.0
634778,5.0,2.0,4.0,1.0,1.0,1.0,0.0,4.0
637024,8.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0
637832,7.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0
638201,9.0,2.0,4.0,2.0,2.0,2.0,,2.0
639274,6.0,1.0,4.0,1.0,1.0,1.0,,5.0
639392,9.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0
642550,4.0,3.0,4.0,1.0,1.0,1.0,,5.0
642888,9.0,1.0,2.0,2.0,4.0,4.0,1.0,2.0
644610,8.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0
644744,7.0,1.0,3.0,2.0,1.0,1.0,0.0,5.0
645663,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0
645909,6.0,2.0,2.0,2.0,1.0,1.0,,5.0
646079,7.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0
648143,7.0,3.0,3.0,2.0,1.0,1.0,1.0,5.0
649196,2.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0
649236,1.0,2.0,2.0,2.0,2.0,2.0,0.0,5.0
649446,9.0,1.0,3.0,1.0,1.0,1.0,0.0,4.0
649640,7.0,2.0,4.0,1.0,,,0.0,
649965,5.0,3.0,4.0,1.0,1.0,1.0,0.0,5.0
650035,7.0,3.0,4.0,2.0,1.0,1.0,,2.0
650620,9.0,1.0,2.0,2.0,3.0,5.0,1.0,1.0
651047,7.0,3.0,4.0,1.0,1.0,1.0,,5.0
651102,3.0,1.0,2.0,2.0,1.0,3.0,,4.0
651256,9.0,1.0,2.0,2.0,3.0,5.0,0.0,3.0
651351,6.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0
651541,,3.0,4.0,1.0,1.0,1.0,,5.0
651697,5.0,1.0,3.0,2.0,1.0,3.0,,4.0
652882,9.0,2.0,3.0,1.0,1.0,1.0,0.0,5.0
653320,3.0,2.0,2.0,1.0,1.0,1.0,0.0,5.0
653382,9.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0
653972,6.0,2.0,2.0,1.0,5.0,3.0,1.0,5.0
654117,8.0,2.0,4.0,1.0,1.0,1.0,,5.0
654339,4.0,2.0,3.0,2.0,5.0,3.0,0.0,5.0
654956,9.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0
654983,1.0,1.0,2.0,2.0,1.0,1.0,0.0,5.0
655082,9.0,2.0,4.0,2.0,1.0,1.0,,5.0
655262,,3.0,4.0,1.0,1.0,1.0,0.0,5.0
655988,2.0,1.0,4.0,1.0,3.0,5.0,1.0,3.0
656538,9.0,1.0,4.0,1.0,1.0,1.0,0.0,4.0
656829,1.0,1.0,2.0,1.0,1.0,1.0,0.0,5.0
657074,9.0,1.0,3.0,1.0,1.0,1.0,0.0,5.0
657458,6.0,1.0,4.0,1.0,1.0,1.0,0.0,3.0
657763,8.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
657883,4.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0
658382,9.0,2.0,2.0,1.0,4.0,3.0,0.0,2.0
658853,9.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0
659049,9.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0
659421,8.0,1.0,3.0,1.0,1.0,1.0,0.0,4.0
659504,9.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0
659809,2.0,3.0,2.0,2.0,5.0,3.0,,5.0
661080,1.0,2.0,4.0,2.0,1.0,1.0,,5.0
661138,9.0,1.0,3.0,1.0,2.0,2.0,0.0,5.0
661214,9.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
661671,4.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0
662041,9.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
662351,1.0,3.0,1.0,2.0,1.0,1.0,0.0,4.0
662436,9.0,1.0,4.0,1.0,1.0,1.0,0.0,3.0
662836,5.0,2.0,3.0,1.0,1.0,1.0,0.0,5.0
662893,9.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0
663701,9.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0
663796,9.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0
664031,9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
664057,7.0,2.0,4.0,1.0,1.0,1.0,0.0,5.0
664150,5.0,2.0,3.0,1.0,1.0,3.0,0.0,3.0
664445,7.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
664790,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0
664850,7.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0
665456,9.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0
665982,1.0,2.0,3.0,2.0,4.0,3.0,,
666122,4.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0
666547,9.0,2.0,3.0,1.0,1.0,3.0,0.0,4.0
667336,4.0,2.0,4.0,1.0,3.0,5.0,,5.0
667828,2.0,3.0,3.0,1.0,5.0,3.0,0.0,2.0
668019,9.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
668132,6.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0
668249,6.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0
668325,1.0,3.0,2.0,2.0,5.0,4.0,0.0,5.0
668723,6.0,1.0,2.0,1.0,1.0,1.0,,2.0
669732,5.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0
669967,6.0,2.0,4.0,2.0,1.0,1.0,0.0,5.0
670311,9.0,2.0,2.0,1.0,3.0,5.0,,4.0
671577,9.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
672012,9.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
672514,9.0,2.0,2.0,1.0,1.0,1.0,0.0,5.0
672516,5.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
672976,7.0,2.0,2.0,1.0,1.0,1.0,0.0,5.0
673054,1.0,1.0,3.0,2.0,1.0,1.0,0.0,4.0
673096,4.0,3.0,4.0,1.0,2.0,2.0,0.0,5.0
673644,4.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0
